2.049000000000000057e+02,1.648000000000000114e+02,2.263000000000000114e+02
1.780000000000000000e+02,1.813000000000000114e+02,1.925999999999999943e+02
1.791999999999999886e+02,1.866999999999999886e+02,2.520000000000000000e+02
1.635000000000000000e+02,2.015000000000000000e+02,1.979000000000000057e+02
1.834000000000000057e+02,1.976999999999999886e+02,1.956999999999999886e+02
1.899000000000000057e+02,1.775000000000000000e+02,1.986999999999999886e+02
1.926999999999999886e+02,1.740999999999999943e+02,2.279000000000000057e+02
1.840999999999999943e+02,1.750999999999999943e+02,1.946999999999999886e+02
1.845000000000000000e+02,1.495000000000000000e+02,1.770999999999999943e+02
1.693000000000000114e+02,1.323000000000000114e+02,2.085000000000000000e+02
1.803000000000000114e+02,1.394000000000000057e+02,2.081999999999999886e+02
2.130999999999999943e+02,1.265999999999999943e+02,2.150000000000000000e+02
1.620000000000000000e+02,1.515999999999999943e+02,2.606999999999999886e+02
1.526999999999999886e+02,1.401999999999999886e+02,2.438000000000000114e+02
1.548000000000000114e+02,1.428000000000000114e+02,2.334000000000000057e+02
1.511999999999999886e+02,1.510999999999999943e+02,2.770000000000000000e+02
1.721999999999999886e+02,1.508000000000000114e+02,2.491999999999999886e+02
1.878000000000000114e+02,1.476999999999999886e+02,2.808999999999999773e+02
1.819000000000000057e+02,1.500000000000000000e+02,2.653999999999999773e+02
1.841999999999999886e+02,1.363000000000000114e+02,2.520000000000000000e+02
2.044000000000000057e+02,1.803000000000000114e+02,2.760000000000000000e+02
1.955000000000000000e+02,2.103000000000000114e+02,2.918000000000000114e+02
1.865000000000000000e+02,1.941999999999999886e+02,2.821999999999999886e+02
1.808000000000000114e+02,1.769000000000000057e+02,2.738999999999999773e+02
1.826999999999999886e+02,1.723000000000000114e+02,2.946000000000000227e+02
2.056999999999999886e+02,1.788000000000000114e+02,3.001000000000000227e+02
2.573999999999999773e+02,1.670999999999999943e+02,2.643000000000000114e+02
2.179000000000000057e+02,1.850999999999999943e+02,2.573999999999999773e+02
2.648999999999999773e+02,1.485999999999999943e+02,2.853999999999999773e+02
2.591000000000000227e+02,2.250999999999999943e+02,3.386000000000000227e+02
2.791999999999999886e+02,2.033000000000000114e+02,2.996999999999999886e+02
2.454000000000000057e+02,2.345000000000000000e+02,2.573999999999999773e+02
2.303000000000000114e+02,2.045000000000000000e+02,2.850000000000000000e+02
2.596999999999999886e+02,2.085999999999999943e+02,2.808000000000000114e+02
2.936999999999999886e+02,2.420999999999999943e+02,3.486000000000000227e+02
3.083000000000000114e+02,2.080000000000000000e+02,3.785000000000000000e+02
2.960000000000000000e+02,1.978000000000000114e+02,3.521999999999999886e+02
3.173000000000000114e+02,2.216999999999999886e+02,3.201000000000000227e+02
2.618999999999999773e+02,2.148000000000000114e+02,3.126999999999999886e+02
2.396999999999999886e+02,1.985999999999999943e+02,3.425000000000000000e+02
2.235000000000000000e+02,2.189000000000000057e+02,3.486999999999999886e+02
2.370000000000000000e+02,2.125999999999999943e+02,3.426000000000000227e+02
2.125000000000000000e+02,2.063000000000000114e+02,3.098000000000000114e+02
2.234000000000000057e+02,1.953000000000000114e+02,3.138999999999999773e+02
2.215000000000000000e+02,1.821999999999999886e+02,3.693999999999999773e+02
2.269000000000000057e+02,1.894000000000000057e+02,2.966999999999999886e+02
2.219000000000000057e+02,1.974000000000000057e+02,3.078000000000000114e+02
2.420999999999999943e+02,1.871999999999999886e+02,2.770000000000000000e+02
2.133000000000000114e+02,1.790000000000000000e+02,2.816999999999999886e+02
1.853000000000000114e+02,1.645000000000000000e+02,2.648999999999999773e+02
1.944000000000000057e+02,1.694000000000000057e+02,2.856000000000000227e+02
1.945000000000000000e+02,1.775999999999999943e+02,2.696000000000000227e+02
1.800000000000000000e+02,1.744000000000000057e+02,2.641999999999999886e+02
2.013000000000000114e+02,1.665999999999999943e+02,2.416999999999999886e+02
1.771999999999999886e+02,1.645999999999999943e+02,2.505999999999999943e+02
1.914000000000000057e+02,1.748000000000000114e+02,2.460000000000000000e+02
1.693000000000000114e+02,1.735999999999999943e+02,2.240999999999999943e+02
1.905999999999999943e+02,1.495999999999999943e+02,2.216999999999999886e+02
1.664000000000000057e+02,1.385999999999999943e+02,2.169000000000000057e+02
1.555999999999999943e+02,1.358000000000000114e+02,1.971999999999999886e+02
1.550999999999999943e+02,1.107000000000000028e+02,1.835000000000000000e+02
1.569000000000000057e+02,1.270000000000000000e+02,1.749000000000000057e+02
1.515999999999999943e+02,1.202999999999999972e+02,1.818000000000000114e+02
1.418000000000000114e+02,1.425000000000000000e+02,1.824000000000000057e+02
1.413000000000000114e+02,1.065999999999999943e+02,1.579000000000000057e+02
1.434000000000000057e+02,1.040000000000000000e+02,1.440999999999999943e+02
1.298000000000000114e+02,9.020000000000000284e+01,1.359000000000000057e+02
1.175999999999999943e+02,1.050999999999999943e+02,1.309000000000000057e+02
1.155000000000000000e+02,8.979999999999999716e+01,1.394000000000000057e+02
1.155000000000000000e+02,9.929999999999999716e+01,1.315999999999999943e+02
